Initializing Qwen Client with model: qwen3-vl-8b-instruct
Using Data Root: /ceph/hpc/home/euweihez/topcon/d2025d08-005-users/data_src/balanced/balanced_th/th/balanced_theory
--- SHARD INFO ---
Job ID: 1 / 4
Processing indices: 494 to 988 (Total: 494 papers)
[FhLOZF8Tsm] figure_5.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_6.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_A_3.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_2.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_A_1.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_A_5.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_7.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_3.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_4.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_1.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_A_4.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_5.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_6.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_2.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_7.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_3.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_4.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_2_1.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_5_1.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_4_1.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_1.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_3_1.jpg -> classified as: Plots / Charts
[FrjTgprk3V] figure_1_1.jpg -> classified as: Plots / Charts
[G328D1xt4W] figure_5.jpg -> classified as: Plots / Charts
[G328D1xt4W] figure_6.jpg -> classified as: Qualitative Examples
[G328D1xt4W] figure_2.jpg -> classified as: Plots / Charts
[G328D1xt4W] figure_3.jpg -> classified as: Plots / Charts
[G328D1xt4W] figure_4.jpg -> classified as: Plots / Charts
[G328D1xt4W] figure_1.jpg -> classified as: Architecture Diagram
[G3OCarOfxx] figure_2.jpg -> classified as: Plots / Charts
[G3OCarOfxx] figure_3.jpg -> classified as: Plots / Charts
[G3OCarOfxx] figure_1.jpg -> classified as: Plots / Charts
[G8U2nGP3Vi] figure_5.jpg -> classified as: Plots / Charts
[G8U2nGP3Vi] figure_6.jpg -> classified as: Plots / Charts
[G8U2nGP3Vi] figure_2.jpg -> classified as: Plots / Charts
[G8U2nGP3Vi] figure_3.jpg -> classified as: Plots / Charts
[G8U2nGP3Vi] figure_4.jpg -> classified as: Plots / Charts
[G8U2nGP3Vi] figure_1.jpg -> classified as: Plots / Charts
[GDjwSBZy6l] figure_2.jpg -> classified as: Plots / Charts
[GDjwSBZy6l] figure_3.jpg -> classified as: Plots / Charts
[GDjwSBZy6l] figure_1.jpg -> classified as: Architecture Diagram
[GGo5eMv45h] figure_2.jpg -> classified as: Plots / Charts
[GGo5eMv45h] figure_3.jpg -> classified as: Plots / Charts
[GGo5eMv45h] figure_4.jpg -> classified as: Plots / Charts
[GGo5eMv45h] figure_1.jpg -> classified as: Architecture Diagram
[GH2LYb9XV0] figure_5.jpg -> classified as: Plots / Charts
[GH2LYb9XV0] figure_6.jpg -> classified as: Plots / Charts
[GH2LYb9XV0] figure_2.jpg -> classified as: Plots / Charts
[GH2LYb9XV0] figure_7.jpg -> classified as: Plots / Charts
[GH2LYb9XV0] figure_3.jpg -> classified as: Plots / Charts
[GH2LYb9XV0] figure_4.jpg -> classified as: Plots / Charts
[GH2LYb9XV0] figure_1.jpg -> classified as: Plots / Charts
[GH2LYb9XV0] figure_8.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_5.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_6.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_9.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_13.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_15.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_2.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_11.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_7.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_3.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_4.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_17.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_1.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_8.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_12.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_14.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_16.jpg -> classified as: Plots / Charts
[GKAQ92ua3A] figure_10.jpg -> classified as: Plots / Charts
[GLKig15TWJ] figure_1.jpg -> classified as: Architecture Diagram
[GM7cmQfk2F] figure_5.jpg -> classified as: Plots / Charts
[GM7cmQfk2F] figure_6.jpg -> classified as: Plots / Charts
[GM7cmQfk2F] figure_2.jpg -> classified as: Plots / Charts
[GM7cmQfk2F] figure_7.jpg -> classified as: Plots / Charts
[GM7cmQfk2F] figure_3.jpg -> classified as: Plots / Charts
[GM7cmQfk2F] figure_4.jpg -> classified as: Plots / Charts
[GM7cmQfk2F] figure_1.jpg -> classified as: Architecture Diagram
[GM7cmQfk2F] figure_8.jpg -> classified as: Plots / Charts
[GQ1Tc3vHbt] figure_2.jpg -> classified as: Plots / Charts
[GQ1Tc3vHbt] figure_3.jpg -> classified as: Plots / Charts
[GQ1Tc3vHbt] figure_1.jpg -> classified as: Plots / Charts
[GQGNLEHmdl] figure_5.jpg -> classified as: Plots / Charts
[GQGNLEHmdl] figure_6.jpg -> classified as: Plots / Charts
[GQGNLEHmdl] figure_2.jpg -> classified as: Plots / Charts
[GQGNLEHmdl] figure_7.jpg -> classified as: Plots / Charts
[GQGNLEHmdl] figure_3.jpg -> classified as: Architecture Diagram
[GQGNLEHmdl] figure_4.jpg -> classified as: Plots / Charts
[GQGNLEHmdl] figure_1.jpg -> classified as: Plots / Charts
[GQGNLEHmdl] figure_8.jpg -> classified as: Plots / Charts
[GTUoTJXPBf] figure_5.jpg -> classified as: Plots / Charts
[GTUoTJXPBf] figure_6.jpg -> classified as: Plots / Charts
[GTUoTJXPBf] figure_2.jpg -> classified as: Plots / Charts
[GTUoTJXPBf] figure_3.jpg -> classified as: Plots / Charts
[GTUoTJXPBf] figure_4.jpg -> classified as: Plots / Charts
[GTUoTJXPBf] figure_1.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_5.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_6.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_2.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_7.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_3.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_4.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_1.jpg -> classified as: Plots / Charts
[GWSIo2MzuH] figure_8.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_5.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_6.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_9.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_2.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_11.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_7.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_3.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_4.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_1.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_8.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_12.jpg -> classified as: Plots / Charts
[GYik1jT3gE] figure_10.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_5.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_6.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_9.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_2.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_7.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_3.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_4.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_1.jpg -> classified as: Plots / Charts
[Gc2qkiYUkh] figure_8.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_6.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_9.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_13.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_15.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_11.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_4.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_1.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_8.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_12.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_14.jpg -> classified as: Plots / Charts
[GeUK3zGreN] figure_10.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_5.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_6.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_9.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_7.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_3.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_4.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_1.jpg -> classified as: Plots / Charts
[GgEAdqYPNA] figure_8.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_19.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_5.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_6.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_9.jpg -> classified as: Qualitative Examples
[Ggu3cWldTy] figure_18.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_13.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_15.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_2.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_11.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_7.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_3.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_4.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_17.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_1.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_8.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_12.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_14.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_16.jpg -> classified as: Plots / Charts
[Ggu3cWldTy] figure_10.jpg -> classified as: Plots / Charts
[GiHLTtfbB5] figure_2.jpg -> classified as: Qualitative Examples
[GiHLTtfbB5] figure_3.jpg -> classified as: Plots / Charts
[GiHLTtfbB5] figure_4.jpg -> classified as: Plots / Charts
[GiHLTtfbB5] figure_1.jpg -> classified as: Qualitative Examples
[GicZtgSlJW] figure_5.jpg -> classified as: Plots / Charts
[GicZtgSlJW] figure_6.jpg -> classified as: Plots / Charts
[GicZtgSlJW] figure_2.jpg -> classified as: Plots / Charts
[GicZtgSlJW] figure_7.jpg -> classified as: Plots / Charts
[GicZtgSlJW] figure_4.jpg -> classified as: Plots / Charts
[GicZtgSlJW] figure_1.jpg -> classified as: Plots / Charts
[GicZtgSlJW] figure_(b)_t-SNE_map.jpg -> classified as: Plots / Charts
[Giwj9cgAIl] figure_5.jpg -> classified as: Qualitative Examples
[Giwj9cgAIl] figure_6.jpg -> classified as: Plots / Charts
[Giwj9cgAIl] figure_2.jpg -> classified as: Plots / Charts
[Giwj9cgAIl] figure_3.jpg -> classified as: Other
  -> Skipping second pass (Other)
[Giwj9cgAIl] figure_4.jpg -> classified as: Plots / Charts
[Giwj9cgAIl] figure_1.jpg -> classified as: Plots / Charts
[GjM61KRiTG] figure_5.jpg -> classified as: Plots / Charts
[GjM61KRiTG] figure_2.jpg -> classified as: Qualitative Examples
[GjM61KRiTG] figure_3.jpg -> classified as: Plots / Charts
[GjM61KRiTG] figure_4.jpg -> classified as: Plots / Charts
[GjM61KRiTG] figure_1.jpg -> classified as: Qualitative Examples
[Gk75gOjtQh] figure_5.jpg -> classified as: Plots / Charts
[Gk75gOjtQh] figure_6.jpg -> classified as: Plots / Charts
[Gk75gOjtQh] figure_9.jpg -> classified as: Plots / Charts
[Gk75gOjtQh] figure_2.jpg -> classified as: Plots / Charts
[Gk75gOjtQh] figure_7.jpg -> classified as: Architecture Diagram
[Gk75gOjtQh] figure_3.jpg -> classified as: Qualitative Examples
[Gk75gOjtQh] figure_4.jpg -> classified as: Plots / Charts
[Gk75gOjtQh] figure_1.jpg -> classified as: Qualitative Examples
[Gk75gOjtQh] figure_8.jpg -> classified as: Qualitative Examples
[Gl2nXRzclw] figure_5.jpg -> classified as: Plots / Charts
[Gl2nXRzclw] figure_6.jpg -> classified as: Plots / Charts
[Gl2nXRzclw] figure_2.jpg -> classified as: Plots / Charts
[Gl2nXRzclw] figure_7.jpg -> classified as: Plots / Charts
[Gl2nXRzclw] figure_3.jpg -> classified as: Plots / Charts
[Gl2nXRzclw] figure_4.jpg -> classified as: Plots / Charts
[Gl2nXRzclw] figure_1.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_19.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_23.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_5.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_6.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_9.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_22.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_18.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_13.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_15.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_2.jpg -> classified as: Architecture Diagram
[GlAeL0I8LX] figure_20.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_11.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_(a)_Baseline_Resnet50.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_7.jpg -> classified as: Other
  -> Skipping second pass (Other)
[GlAeL0I8LX] figure_3.jpg -> classified as: Architecture Diagram
[GlAeL0I8LX] figure_4.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_17.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_1.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_12.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_21.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_14.jpg -> classified as: Qualitative Examples
[GlAeL0I8LX] figure_16.jpg -> classified as: Plots / Charts
[GlAeL0I8LX] figure_10.jpg -> classified as: Qualitative Examples
[GlPVnuL66V] figure_2.jpg -> classified as: Other
  -> Skipping second pass (Other)
[GlqeLNjH6p] figure_5.jpg -> classified as: Plots / Charts
[GlqeLNjH6p] figure_6.jpg -> classified as: Plots / Charts
[GlqeLNjH6p] figure_2.jpg -> classified as: Plots / Charts
[GlqeLNjH6p] figure_7.jpg -> classified as: Plots / Charts
[GlqeLNjH6p] figure_3.jpg -> classified as: Plots / Charts
[GlqeLNjH6p] figure_4.jpg -> classified as: Plots / Charts
[GlqeLNjH6p] figure_1.jpg -> classified as: Plots / Charts
[GnBBSlUb0S] figure_2.jpg -> classified as: Architecture Diagram
[GnBBSlUb0S] figure_3.jpg -> classified as: Architecture Diagram
[GnBBSlUb0S] figure_1.jpg -> classified as: Plots / Charts
[Gq7RDMeZi4] figure_3.jpg -> classified as: Plots / Charts
[Gq7RDMeZi4] figure_1.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_5.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_6.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_9.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_2.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_11.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_7.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_3.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_4.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_1.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_8.jpg -> classified as: Plots / Charts
[GqI4fTVUXC] figure_10.jpg -> classified as: Plots / Charts
[GsR3zRCRX5] figure_5.jpg -> classified as: Plots / Charts
[GsR3zRCRX5] figure_6.jpg -> classified as: Plots / Charts
[GsR3zRCRX5] figure_2.jpg -> classified as: Architecture Diagram
[GsR3zRCRX5] figure_7.jpg -> classified as: Plots / Charts
[GsR3zRCRX5] figure_3.jpg -> classified as: Plots / Charts
[GsR3zRCRX5] figure_4.jpg -> classified as: Plots / Charts
[GsR3zRCRX5] figure_1.jpg -> classified as: Plots / Charts
[GsR3zRCRX5] figure_8.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_5.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_6.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_9.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_Details_on_the.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_11.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_7.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_3.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_4.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_1.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_8.jpg -> classified as: Plots / Charts
[GtxzVbjPKC] figure_10.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_5.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_6.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_9.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_13.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_2.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_11.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_7.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_3.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_4.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_1.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_8.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_12.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_14.jpg -> classified as: Plots / Charts
[Gv0TOAigIY] figure_10.jpg -> classified as: Qualitative Examples
[Gvg3nXZvyg] figure_5.jpg -> classified as: Plots / Charts
[Gvg3nXZvyg] figure_6.jpg -> classified as: Plots / Charts
[Gvg3nXZvyg] figure_2.jpg -> classified as: Architecture Diagram
[Gvg3nXZvyg] figure_3.jpg -> classified as: Qualitative Examples
[Gvg3nXZvyg] figure_4.jpg -> classified as: Plots / Charts
[Gvg3nXZvyg] figure_1.jpg -> classified as: Other
  -> Skipping second pass (Other)
[GySIAKEwtZ] figure_5.jpg -> classified as: Plots / Charts
[GySIAKEwtZ] figure_2.jpg -> classified as: Plots / Charts
[GySIAKEwtZ] figure_3.jpg -> classified as: Qualitative Examples
[GySIAKEwtZ] figure_4.jpg -> classified as: Qualitative Examples
[GySIAKEwtZ] figure_1.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_19.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_5.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_6.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_9.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_18.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_13.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_15.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_2.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_11.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_7.jpg -> classified as: Architecture Diagram
[H0qIWXXLUR] figure_3.jpg -> classified as: Architecture Diagram
[H0qIWXXLUR] figure_(b)_TR-DPOτ_vs..jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_4.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_17.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_1.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_8.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_12.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_14.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_16.jpg -> classified as: Plots / Charts
[H0qIWXXLUR] figure_10.jpg -> classified as: Plots / Charts
[H4A9e8HvIn] figure_2.jpg -> classified as: Plots / Charts
[H4A9e8HvIn] figure_1.jpg -> classified as: Plots / Charts
[H5FUVj0vMd] figure_6.jpg -> classified as: Other
  -> Skipping second pass (Other)
[H5FUVj0vMd] figure_2.jpg -> classified as: Plots / Charts
[H5FUVj0vMd] figure_3.jpg -> classified as: Architecture Diagram
[H5FUVj0vMd] figure_4.jpg -> classified as: Qualitative Examples
[H5FUVj0vMd] figure_1.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_5.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_6.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_9.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_2.jpg -> classified as: Architecture Diagram
[H6pf70GZVU] figure_7.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_3.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_4.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_1.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_8.jpg -> classified as: Plots / Charts
[H6pf70GZVU] figure_10.jpg -> classified as: Plots / Charts
[H8OOlBjhkU] figure_2.jpg -> classified as: Plots / Charts
[H8OOlBjhkU] figure_1.jpg -> classified as: Other
  -> Skipping second pass (Other)
[H8hO3T3DYe] figure_5.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_6.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_9.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_2.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_7.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_3.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_4.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_1.jpg -> classified as: Plots / Charts
[H8hO3T3DYe] figure_10.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_5.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_6.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_2.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_11.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_7.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_3.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_4.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_1.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_8.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_12.jpg -> classified as: Plots / Charts
[H9dNX6TaRE] figure_10.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_61.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_44.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_30.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_43.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_19.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_71.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_63.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_54.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_69.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_23.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_47.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_62.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_64.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_29.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_24.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_5.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_6.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_57.jpg -> classified as: Plots / Charts
[HANfmG6tQK] figure_9.jpg -> classified as: Plots / Charts
